_url,_position,image,image/_title,image/_alt,image/_source,description,price,link,link/_title,link/_text,link/_source
"http://www.asos.com/au/Beauty/A-To-Z-Of-Brands/Elemis/Cat/pgecategory.aspx?cid=5297","32","http://images.asos-media.com/inv/media/0/5/5/8/3618550/oxygenatingnight/image1xl.jpg","","Elemis Pro-Collagen Oxygenating Night Cream 30ml","","Elemis Pro-Collagen Oxygenating Night Cream 30ml","$121.00","http://www.asos.com/au/Elemis/Elemis-Pro-Collagen-Oxygenating-Night-Cream-30ml/Prod/pgeproduct.aspx?iid=3618550&cid=5297&sh=0&pge=0&pgesize=36&sort=-1&clr=Oxygenating+night&totalstyles=40&gridsize=3","","Elemis Pro-Collagen Oxygenating Night Cream 30ml",""
"http://www.asos.com/au/Women/Jumpsuits-Playsuits/Casual-Jumpsuits/Cat/pgecategory.aspx?cid=20982","20","http://images.asos-media.com/inv/media/4/0/9/3/6123904/multi/image1xl.jpg","","Boohoo Plunge front Printed Culotte Jumpsuit","","Boohoo Plunge front Printed Culotte Jumpsuit","$50.00","http://www.asos.com/au/Boohoo/Boohoo-Plunge-front-Printed-Culotte-Jumpsuit/Prod/pgeproduct.aspx?iid=6123904&cid=20982&sh=0&pge=0&pgesize=36&sort=-1&clr=Multi&totalstyles=181&gridsize=3","","Boohoo Plunge front Printed Culotte Jumpsuit",""
"http://www.asos.com/au/Women/Tall/Skirts-Shorts/Cat/pgecategory.aspx?cid=19819","13","http://images.asos-media.com/inv/media/1/8/1/7/5927181/black/image1xl.jpg","","ASOS TALL Button Through Midi Skirt","","ASOS TALL Button Through Midi Skirt","$43.00","http://www.asos.com/au/ASOS-Tall/ASOS-TALL-Button-Through-Midi-Skirt/Prod/pgeproduct.aspx?iid=5927181&cid=19819&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=17&gridsize=3","","ASOS TALL Button Through Midi Skirt",""
"http://www.asos.com/au/Men/T-Shirts/Plain/Cat/pgecategory.aspx?cid=9171","33","http://images.asos-media.com/inv/media/4/6/8/8/6148864/black/image1xl.jpg","","Selected Homme Spacedye T-Shirt with Contrast Pocket","","Selected Homme Spacedye T-Shirt with Contrast Pocket","$38.00","http://www.asos.com/au/Selected-Homme/Selected-Homme-Spacedye-T-Shirt-with-Contrast-Pocket/Prod/pgeproduct.aspx?iid=6148864&cid=9171&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=993&gridsize=3","","Selected Homme Spacedye T-Shirt with Contrast Pocket",""
"http://www.asos.com/au/Women/A-To-Z-Of-Brands/New-Look-Tall/Cat/pgecategory.aspx?cid=18433","3","http://images.asos-media.com/inv/media/1/5/8/8/6158851/khaki/image1xl.jpg","","New Look Tall Zip 3/4 Sleeve Shirt Dress","","New Look Tall Zip 3/4 Sleeve Shirt Dress","$53.00","http://www.asos.com/au/New-Look-Tall/New-Look-Tall-Zip-3/4-Sleeve-Shirt-Dress/Prod/pgeproduct.aspx?iid=6158851&cid=18433&sh=0&pge=0&pgesize=36&sort=-1&clr=Khaki&totalstyles=70&gridsize=3","","New Look Tall Zip 3/4 Sleeve Shirt Dress",""
"http://www.asos.com/au/Women/Tall/New-In/Cat/pgecategory.aspx?cid=20298","1","http://images.asos-media.com/inv/media/5/5/2/5/6385255/green/image1xl.jpg","","New Look Tall Back Detail Cami","","New Look Tall Back Detail Cami","$28.00","http://www.asos.com/au/New-Look-Tall/New-Look-Tall-Back-Detail-Cami/Prod/pgeproduct.aspx?iid=6385255&cid=20298&sh=0&pge=0&pgesize=36&sort=-1&clr=Green&totalstyles=362&gridsize=3","","New Look Tall Back Detail Cami",""
"http://www.asos.com/au/Women/Tall/Dresses/Cat/pgecategory.aspx?cid=19780","19","http://images.asos-media.com/inv/media/1/8/7/3/6023781/black/image1xl.jpg","","Paper Dolls Tall Crochet Lace Pencil Dress","","Paper Dolls Tall Crochet Lace Pencil Dress","$127.00","http://www.asos.com/au/Paper-Dolls-Tall/Paper-Dolls-Tall-Crochet-Lace-Pencil-Dress/Prod/pgeproduct.aspx?iid=6023781&cid=19780&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=160&gridsize=3","","Paper Dolls Tall Crochet Lace Pencil Dress",""
"http://www.asos.com/au/Women/Tops/Workwear/Cat/pgecategory.aspx?cid=11319","2","http://images.asos-media.com/inv/media/0/1/6/7/6107610/lightgreymelange/image1xl.jpg","","Only Wrap Front Jersey Top","","Only Wrap Front Jersey Top","$47.00","http://www.asos.com/au/Only/Only-Wrap-Front-Jersey-Top/Prod/pgeproduct.aspx?iid=6107610&cid=11319&sh=0&pge=0&pgesize=36&sort=-1&clr=Light+grey+melange&totalstyles=30&gridsize=3","","Only Wrap Front Jersey Top",""
"http://www.asos.com/au/Women/Tops/Bodies/Cat/pgecategory.aspx?cid=11323","12","http://images.asos-media.com/inv/media/4/6/7/3/6073764/blackwhite/image1xl.jpg","","ASOS Vest Body With Scoop Back 2 Pack Save 15%","","ASOS Singlet Body With Scoop Back 2 Pack Save 15%","$43.00","http://www.asos.com/au/ASOS/ASOS-Vest-Body-With-Scoop-Back-2-Pack-Save-15/Prod/pgeproduct.aspx?iid=6073764&cid=11323&sh=0&pge=0&pgesize=36&sort=-1&clr=Black%2fwhite&totalstyles=130&gridsize=3","","ASOS Singlet Body With Scoop Back 2 Pack Save 15%",""
"http://www.asos.com/au/Women/Tall/Jeans-Denim/Cat/pgecategory.aspx?cid=20300","8","http://images.asos-media.com/inv/media/4/2/3/0/5770324/blue/image1xl.jpg","","Waven Tall Tini Denim Crop Top","","Waven Tall Tini Denim Crop Top","$74.00","http://www.asos.com/au/Waven-Tall/Waven-Tall-Tini-Denim-Crop-Top/Prod/pgeproduct.aspx?iid=5770324&cid=20300&sh=0&pge=0&pgesize=36&sort=-1&clr=Blue&totalstyles=41&gridsize=3","","Waven Tall Tini Denim Crop Top",""
"http://www.asos.com/au/Women/Tops/Camis/Cat/pgecategory.aspx?cid=15202","3","http://images.asos-media.com/inv/media/6/8/1/2/6272186/multi/image1xl.jpg","","Fashion Union Bow Front Cami Top in Pretty Floral","","Fashion Union Bow Front Cami Top in Pretty Floral","$30.00","http://www.asos.com/au/Fashion-Union/Fashion-Union-Bow-Front-Cami-Top-in-Pretty-Floral/Prod/pgeproduct.aspx?iid=6272186&cid=15202&sh=0&pge=0&pgesize=36&sort=-1&clr=Multi&totalstyles=115&gridsize=3","","Fashion Union Bow Front Cami Top in Pretty Floral",""
"http://www.asos.com/au/Women/Curve-Plus-Size/New-In/Cat/pgecategory.aspx?cid=9578","12","http://images.asos-media.com/inv/media/1/1/1/2/6162111/black/image1xl.jpg","","ASOS CURVE Playsuit with Ruffle Detail","","ASOS CURVE Playsuit with Ruffle Detail","$47.00","http://www.asos.com/au/ASOS-Curve/ASOS-CURVE-Playsuit-with-Ruffle-Detail/Prod/pgeproduct.aspx?iid=6162111&cid=9578&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=60&gridsize=3","","ASOS CURVE Playsuit with Ruffle Detail",""
